  ,Ingresos ,Intereses y descuentos ganados,Intereses causados,MARGEN NETO DE INTERESES,Comisiones ganadas,Ingresos por servicios,Comisiones causadas,Utilidades financieras,Pérdidas financieras,MARGEN BRUTO FINANCIERO,Provisiones,MARGEN NETO FINANCIERO,Gastos de operación,MARGEN DE INTERMEDIACIÓN,Otros ingresos operacionales,Otras pérdidas operacionales,MARGEN OPERACIONAL,Otros ingresos  ,Otros gastos y pérdidas,GANANCIA ANTES DE IMPUESTOS,Impuestos y participación a empleados,GANANCIA O PÉRDIDA DEL EJERCICIO
COOPROGRESO LIMITADA,83593730.32,68585753.23,49920866.62,18664886.610000007,3015403.86,1765678.36,859653.18,1720331.68,92258.8,24214388.530000005,6169891.26,18044497.270000003,21351016.94,-3306519.669999998,300020.89,111831.52,-3118330.299999998,8206542.3,5082395.45,5816.550000001676,5816.54,0.01000000167641701
DE LA PEQUEÑA EMPRESA BIBLIAN LIMITADA,52375862,48124445.9,24302424.69,23822021.209999997,0,943332.89,0,846724.54,9038.49,25603040.15,11767032.32,13836007.829999998,15259600.34,-1423592.5100000016,11915.76,0,-1411676.7500000016,2449442.91,85461.29,952304.8699999985,345210.53,607094.3399999985
DE LA PEQUEÑA EMPRESA CACPE LOJA LTDA,12937133.81,11528287.51,5665922.62,5862364.89,0,129585.28,2673.35,145499.92,0,6134776.74,1056452.21,5078324.53,4523970.82,554353.71,50645.01,6986.89,598011.83,1083116.09,18209,1662918.92,602808.11,1060110.81
DE LA PEQUEÑA EMPRESA DE COTOPAXI LIMITADA,57864991.57,51276218.02,22477928.32,28798289.700000003,0,453109.32,6900,694929.32,268144.77,29671283.570000004,8109578.63,21561704.940000005,12930771.31,8630933.630000005,186388.35,211985.27,8605336.710000005,5254346.56,218047.4,13641635.870000003,4945093,8696542.870000003
DE LA PEQUEÑA EMPRESA DE PASTAZA LIMITADA,33976674.94,32197343.59,16131850.67,16065492.92,254016.54,497604.23,219487.19,418309,6556.49,17009379.01,2879699.04,14129679.970000003,10372575.37,3757104.6000000034,0,0,3757104.6000000034,609401.58,105702.13,4260804.050000004,1544541.48,2716262.5700000036
DE LA PEQUEÑA EMPRESA GUALAQUIZA,14689898.61,13006962.14,7583774.05,5423188.090000001,0,228097.95,0,603407.8,0,6254693.840000001,921509.51,5333184.330000001,4237743.93,1095440.4000000013,3836.74,0,1099277.1400000013,847593.98,198470.29,1748400.8300000012,566750.99,1181649.8400000012
DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA,25081084.85,23853241.14,8975574.68,14877666.46,318251.36,233878.38,9208.33,316878.61,0,15737466.48,753729.71,14983736.77,8057458.32,6926278.449999999,22594.1,0,6948872.549999999,336241.26,18999.49,7266114.319999998,3081401.2,4184713.1199999982
EL SAGRARIO LTDA,34226400.29,29714859.02,17505315.51,12209543.509999998,54903.49,1103507.89,58038.32,447362.04,0,13757278.609999998,4537453.73,9219824.879999997,8495130.03,724694.8499999978,71586.12,73509.89,722771.0799999977,2834181.73,254071.72,3302881.0899999975,1241238.44,2061642.6499999976
ERCO LIMITADA,25167406.57,22797191.32,12006742.51,10790448.81,97049.94,465445.15,0,276488.55,0,11629432.450000001,1835130.5,9794301.950000001,8807312.64,986989.3100000005,63151.65,92958.78,957182.1800000004,1468079.96,367838.74,2057423.4000000006,745815.98,1311607.4200000006
FERNANDO DAQUILEMA LIMITADA,70042903.15,65277229.34,39687854.85,25589374.490000002,115879.62,634650.65,50181.4,1273747.78,0,27563471.140000004,8574314.81,18989156.330000006,21510319.54,-2521163.2099999934,421685.77,0,-2099477.4399999934,2319709.99,156570.27,63662.28000000681,59036.66,4625.620000006806
INDIGENA SAC LTDA,21833882.87,20616830.02,12187512.27,8429317.75,247499.01,350551.27,16824.78,255921.43,0,9266464.68,2264649.04,7001815.64,7125927.02,-124111.37999999989,4810.73,455.3,-119755.9499999999,358270.41,237.98,238276.48000000007,88212.12,150064.36000000007
JARDIN AZUAYO LIMITADA,174977978.41,163082401.47,80517205.76,82565195.71,1466788.92,1584310.05,1714249.9,3186183.04,381842.27,86706385.55,22888111.29,63818274.26,56619416.24,7198858.019999996,68414.89,33881.93,7233390.979999996,5589880.04,958210.76,11865060.259999996,4301084.36,7563975.899999996
